YEAR,LOCATION,"STATE ANSI","ASD CODE","COUNTY ANSI","REFERENCE PERIOD",COMMODITY,"CONDITION in PCT POOR","CONDITION in PCT VERY POOR","CONDITION in PCT GOOD","CONDITION in PCT FAIR","CONDITION in PCT EXCELLENT","CONDITION, 5 YEAR AVG in PCT EXCELLENT","CONDITION, 5 YEAR AVG in PCT POOR","CONDITION, 5 YEAR AVG in PCT VERY POOR","CONDITION, 5 YEAR AVG in PCT GOOD","CONDITION, 5 YEAR AVG in PCT FAIR","CONDITION, PREVIOUS YEAR in PCT POOR","CONDITION, PREVIOUS YEAR in PCT EXCELLENT","CONDITION, PREVIOUS YEAR in PCT FAIR","CONDITION, PREVIOUS YEAR in PCT VERY POOR","CONDITION, PREVIOUS YEAR in PCT GOOD"
1990,"US TOTAL","  ","  ","   ","WEEK #23",CORN,7,1,47,40,5," "," "," "," "," "," "," "," "," "," "
1990,"US TOTAL","  ","  ","   ","WEEK #24",CORN,5,1,56,31,7," "," "," "," "," "," "," "," "," "," "
1990,"US TOTAL","  ","  ","   ","WEEK #25",CORN,5,1,57,30,7," "," "," "," "," "," "," "," "," "," "
1990,"US TOTAL","  ","  ","   ","WEEK #26",CORN,4,1,57,30,8," "," "," "," "," "," "," "," "," "," "
1990,"US TOTAL","  ","  ","   ","WEEK #27",CORN,4,1,59,27,9," "," "," "," "," "," "," "," "," "," "
1990,"US TOTAL","  ","  ","   ","WEEK #28",CORN,4,1,63,20,12," "," "," "," "," "," "," "," "," "," "
1990,"US TOTAL","  ","  ","   ","WEEK #29",CORN,4,1,62,21,12," "," "," "," "," "," "," "," "," "," "
1990,"US TOTAL","  ","  ","   ","WEEK #30",CORN,3,1,62,21,13," "," "," "," "," "," "," "," "," "," "
1990,"US TOTAL","  ","  ","   ","WEEK #31",CORN,3,1,60,20,16," "," "," "," "," "," "," "," "," "," "
1990,"US TOTAL","  ","  ","   ","WEEK #32",CORN,4,1,61,19,15," "," "," "," "," "," "," "," "," "," "
1990,"US TOTAL","  ","  ","   ","WEEK #33",CORN,5,1,60,18,16," "," "," "," "," "," "," "," "," "," "
1990,"US TOTAL","  ","  ","   ","WEEK #34",CORN,4,1,61,17,17," "," "," "," "," "," "," "," "," "," "
1990,"US TOTAL","  ","  ","   ","WEEK #35",CORN,4,1,63,16,16," "," "," "," "," "," "," "," "," "," "
1990,"US TOTAL","  ","  ","   ","WEEK #36",CORN,4,1,61,19,15," "," "," "," "," "," "," "," "," "," "
1990,"US TOTAL","  ","  ","   ","WEEK #37",CORN,3,1,62,20,14," "," "," "," "," "," "," "," "," "," "
1990,"US TOTAL","  ","  ","   ","WEEK #38",CORN,4,1,63,20,12," "," "," "," "," "," "," "," "," "," "
1990,"US TOTAL","  ","  ","   ","WEEK #39",CORN,4,1,66,18,11," "," "," "," "," "," "," "," "," "," "
1990,"US TOTAL","  ","  ","   ","WEEK #40",CORN,3,1,64,20,12," "," "," "," "," "," "," "," "," "," "
1990,"US TOTAL","  ","  ","   ","WEEK #41",CORN,3,1,65,21,10," "," "," "," "," "," "," "," "," "," "
1991,"US TOTAL","  ","  ","   ","WEEK #22",CORN,2,1,61,16,20," "," "," "," "," "," "," "," "," "," "
1991,"US TOTAL","  ","  ","   ","WEEK #23",CORN,2," ",61,17,20," "," "," "," "," "," "," "," "," "," "
1991,"US TOTAL","  ","  ","   ","WEEK #24",CORN,2," ",61,20,17," "," "," "," "," "," "," "," "," "," "
1991,"US TOTAL","  ","  ","   ","WEEK #25",CORN,2," ",60,19,19," "," "," "," "," "," "," "," "," "," "
1991,"US TOTAL","  ","  ","   ","WEEK #26",CORN,4," ",57,21,18," "," "," "," "," "," "," "," "," "," "
1991,"US TOTAL","  ","  ","   ","WEEK #27",CORN,4,2,54,26,14," "," "," "," "," "," "," "," "," "," "
1991,"US TOTAL","  ","  ","   ","WEEK #28",CORN,4,1,53,29,13," "," "," "," "," "," "," "," "," "," "
1991,"US TOTAL","  ","  ","   ","WEEK #29",CORN,6,3,48,33,10," "," "," "," "," "," "," "," "," "," "
1991,"US TOTAL","  ","  ","   ","WEEK #30",CORN,10,3,43,34,10," "," "," "," "," "," "," "," "," "," "
1991,"US TOTAL","  ","  ","   ","WEEK #31",CORN,16,5,39,32,8," "," "," "," "," "," "," "," "," "," "
1991,"US TOTAL","  ","  ","   ","WEEK #32",CORN,14,5,38,34,9," "," "," "," "," "," "," "," "," "," "
1991,"US TOTAL","  ","  ","   ","WEEK #33",CORN,12,5,38,36,9," "," "," "," "," "," "," "," "," "," "
1991,"US TOTAL","  ","  ","   ","WEEK #34",CORN,12,6,39,35,8," "," "," "," "," "," "," "," "," "," "
1991,"US TOTAL","  ","  ","   ","WEEK #35",CORN,14,4,37,37,8," "," "," "," "," "," "," "," "," "," "
1991,"US TOTAL","  ","  ","   ","WEEK #36",CORN,12,5,42,35,6," "," "," "," "," "," "," "," "," "," "
1991,"US TOTAL","  ","  ","   ","WEEK #37",CORN,12,4,40,36,8," "," "," "," "," "," "," "," "," "," "
1991,"US TOTAL","  ","  ","   ","WEEK #38",CORN,11,4,43,34,8," "," "," "," "," "," "," "," "," "," "
1991,"US TOTAL","  ","  ","   ","WEEK #39",CORN,10,4,44,34,8," "," "," "," "," "," "," "," "," "," "
1991,"US TOTAL","  ","  ","   ","WEEK #40",CORN,9,5,44,33,9," "," "," "," "," "," "," "," "," "," "
1992,"US TOTAL","  ","  ","   ","WEEK #21",CORN,3," ",61,26,10," "," "," "," "," "," "," "," "," "," "
1992,"US TOTAL","  ","  ","   ","WEEK #22",CORN,8,1,42,44,5," "," "," "," "," "," "," "," "," "," "
1992,"US TOTAL","  ","  ","   ","WEEK #23",CORN,8,1,42,45,4," "," "," "," "," "," "," "," "," "," "
1992,"US TOTAL","  ","  ","   ","WEEK #24",CORN,6,1,47,41,5," "," "," "," "," "," "," "," "," "," "
1992,"US TOTAL","  ","  ","   ","WEEK #25",CORN,6," ",52,35,7," "," "," "," "," "," "," "," "," "," "
1992,"US TOTAL","  ","  ","   ","WEEK #26",CORN,6,2,48,37,7," "," "," "," "," "," "," "," "," "," "
1992,"US TOTAL","  ","  ","   ","WEEK #27",CORN,9,1,45,38,7," "," "," "," "," "," "," "," "," "," "
1992,"US TOTAL","  ","  ","   ","WEEK #28",CORN,4,1,55,29,11," "," "," "," "," "," "," "," "," "," "
1992,"US TOTAL","  ","  ","   ","WEEK #29",CORN,3,1,59,21,16," "," "," "," "," "," "," "," "," "," "
1992,"US TOTAL","  ","  ","   ","WEEK #30",CORN,3,1,57,20,19," "," "," "," "," "," "," "," "," "," "
1992,"US TOTAL","  ","  ","   ","WEEK #31",CORN,3,1,58,17,21," "," "," "," "," "," "," "," "," "," "
1992,"US TOTAL","  ","  ","   ","WEEK #32",CORN,3,1,57,18,21," "," "," "," "," "," "," "," "," "," "
1992,"US TOTAL","  ","  ","   ","WEEK #33",CORN,3,1,58,17,21," "," "," "," "," "," "," "," "," "," "
1992,"US TOTAL","  ","  ","   ","WEEK #34",CORN,4,1,61,16,18," "," "," "," "," "," "," "," "," "," "
